,datadate,close,spread,profitR,historySpread,MACD,RSI,historySpreadNormalized,MACDNormalized,RSINormalized,SpreadNormalized
0,20020103,10172.14,98.73999999999978,0.00980205293148284,"[98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74, 98.74]",0.0,50.0,"[0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695, 0.70695]",-0.02903,0.23053,0.70695
1,20020104,10259.74,87.60000000000036,0.008611757211363535,"[98.74, 87.6, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17]",5.59042735042749,50.0,"[0.70695, 0.63197, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946, 0.66946]",0.09287,0.23053,0.63197
2,20020107,10197.05,-62.69000000000051,-0.00611029129393148,"[98.74, 87.6, -62.69, 41.22, 41.22, 41.22, 41.22, 41.22, 41.22, 41.22, 41.22, 41.22, 41.22, 41.22, 41.22, 41.22, 41.22, 41.22, 41.22, 41.22]",4.7878684101582625,50.0,"[0.70695, 0.63197, -0.37962, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979, 0.31979]",0.07537,0.23053,-0.37962
3,20020108,10150.55,-46.5,-0.004560142394123834,"[98.74, 87.6, -62.69, -46.5, 19.29, 19.29, 19.29, 19.29, 19.29, 19.29, 19.29, 19.29, 19.29, 19.29, 19.29, 19.29, 19.29, 19.29, 19.29, 19.29]",1.042676438037888,50.0,"[0.70695, 0.63197, -0.37962, -0.27065, 0.17218, 0.17218, 0.17218, 0.17218, 0.17218, 0.17218, 0.17218, 0.17218, 0.17218, 0.17218, 0.17218, 0.17218, 0.17218, 0.17218, 0.17218, 0.17218]",-0.00629,0.23053,-0.27065
4,20020109,10094.09,-56.45999999999913,-0.005562260173094025,"[98.74, 87.6, -62.69, -46.5, -56.46, 4.14, 4.14, 4.14, 4.14, 4.14, 4.14, 4.14, 4.14, 4.14, 4.14, 4.14, 4.14, 4.14, 4.14, 4.14]",-4.988572160496028,50.0,"[0.70695, 0.63197, -0.37962, -0.27065, -0.33769, 0.07021, 0.07021, 0.07021, 0.07021, 0.07021, 0.07021, 0.07021, 0.07021, 0.07021, 0.07021, 0.07021, 0.07021, 0.07021, 0.07021, 0.07021]",-0.1378,0.23053,-0.33769
5,20020110,10067.86,-26.229999999999563,-0.0025985502407843697,"[98.74, 87.6, -62.69, -46.5, -56.46, -26.23, -0.92, -0.92, -0.92, -0.92, -0.92, -0.92, -0.92, -0.92, -0.92, -0.92, -0.92, -0.92, -0.92, -0.92]",-10.19593080424167,50.0,"[0.70695, 0.63197, -0.37962, -0.27065, -0.33769, -0.13421, 0.03615, 0.03615, 0.03615, 0.03615, 0.03615, 0.03615, 0.03615, 0.03615, 0.03615, 0.03615, 0.03615, 0.03615, 0.03615, 0.03615]",-0.25135,0.23053,-0.13421
6,20020111,9987.53,-80.32999999999993,-0.007978855486667435,"[98.74, 87.6, -62.69, -46.5, -56.46, -26.23, -80.33, -12.27, -12.27, -12.27, -12.27, -12.27, -12.27, -12.27, -12.27, -12.27, -12.27, -12.27, -12.27, -12.27]",-18.04320986467735,50.0,"[0.70695, 0.63197, -0.37962, -0.27065, -0.33769, -0.13421, -0.49835, -0.04025, -0.04025, -0.04025, -0.04025, -0.04025, -0.04025, -0.04025, -0.04025, -0.04025, -0.04025, -0.04025, -0.04025, -0.04025]",-0.42246,0.23053,-0.49835
7,20020114,9891.42,-96.11000000000058,-0.009622999880851468,"[98.74, 87.6, -62.69, -46.5, -56.46, -26.23, -80.33, -96.11, -22.75, -22.75, -22.75, -22.75, -22.75, -22.75, -22.75, -22.75, -22.75, -22.75, -22.75, -22.75]",-28.09969117317187,50.0,"[0.70695, 0.63197, -0.37962, -0.27065, -0.33769, -0.13421, -0.49835, -0.60457, -0.11079, -0.11079, -0.11079, -0.11079, -0.11079, -0.11079, -0.11079, -0.11079, -0.11079, -0.11079, -0.11079, -0.11079]",-0.64175,0.23053,-0.60457
8,20020115,9924.15,32.72999999999956,0.0033089283439586836,"[98.74, 87.6, -62.69, -46.5, -56.46, -26.23, -80.33, -96.11, 32.73, -16.58, -16.58, -16.58, -16.58, -16.58, -16.58, -16.58, -16.58, -16.58, -16.58, -16.58]",-30.72736759721527,50.0,"[0.70695, 0.63197, -0.37962, -0.27065, -0.33769, -0.13421, -0.49835, -0.60457, 0.26264, -0.06926, -0.06926, -0.06926, -0.06926, -0.06926, -0.06926, -0.06926, -0.06926, -0.06926, -0.06926, -0.06926]",-0.69904,0.23053,0.26264
9,20020116,9712.27,-211.8799999999992,-0.0213499392895109,"[98.74, 87.6, -62.69, -46.5, -56.46, -26.23, -80.33, -96.11, 32.73, -211.88, -36.11, -36.11, -36.11, -36.11, -36.11, -36.11, -36.11, -36.11, -36.11, -36.11]",-44.101470759550054,50.0,"[0.70695, 0.63197, -0.37962, -0.27065, -0.33769, -0.13421, -0.49835, -0.60457, 0.26264, -1.3838, -0.20071, -0.20071, -0.20071, -0.20071, -0.20071, -0.20071, -0.20071, -0.20071, -0.20071, -0.20071]",-0.99067,0.23053,-1.3838
